Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.quipper.school.assignment,,,id,tissot_sprout,7/1/2020 8:04,1.59357E+12,7/1/2020 8:04,1.59357E+12,1,,Yah quiper ngk gratis lagiiii,,,,http://play.google.com/console/developers/4918360869960997146/app/4974629343297863794/user-feedback/review-details?reviewId=gp:AOqpTOH3hmUeYkjGcJ6rsQ-FnDrI3E6_HDHEYZrUH8Gh7U1dIkxqtEiqtj5TmeUZg0H5XYGOU_Sweb3vJAZ9NQ&corpus=PUBLIC_REVIEWS
com.quipper.school.assignment,25534,6.0.22,id,1606,7/1/2020 11:14,1.59358E+12,7/1/2020 11:14,1.59358E+12,5,,,,,,
com.quipper.school.assignment,,,en,RMX1941,7/1/2020 16:05,1.59359E+12,7/1/2020 16:05,1.59359E+12,5,,,,,,
com.quipper.school.assignment,,,id,CPH1605,7/1/2020 16:54,1.5936E+12,7/1/2020 16:54,1.5936E+12,5,,,,,,
com.quipper.school.assignment,,,en,1807,7/1/2020 17:38,1.5936E+12,7/1/2020 17:38,1.5936E+12,5,,"Terima kasih, Quipper! Super teacher-nya keren-keren dan asik ngajarnya. Tips buat UTBK juga bagus dan berguna banget. Seru, deh! ?",7/8/2020 17:46,1.59421E+12,"Halo, terima kasih untuk feedback positifnya, kami merasa senang dapat membantu pembelajaran kamu, pastikan aplikasi kamu selalu terupdate ya :)",http://play.google.com/console/developers/4918360869960997146/app/4974629343297863794/user-feedback/review-details?reviewId=gp:AOqpTOGO7DsQZLQVyabgvCcq5E5qt268smW6mBxNxUDDMsUeYcxXQpFKcp8mO3ZwO75E1mKZBsrOJ_CRDvkziA&corpus=PUBLIC_REVIEWS
com.quipper.school.assignment,25748,6.0.23,id,A1601,7/1/2020 10:38,1.59357E+12,7/1/2020 19:17,1.59361E+12,1,,"Di website quipper bilangnya akun gratis quipper udah dapet sebagian materi dari SMP sampe UTBK, pas mau pake diberanda quipper ga ada materi sama sekali(alias kosong) dan ditulisannya bilang harus berlangganan dulu, yang bener gimana nih? :'( plis kasih solusinya. EDIT: payah, udah ngechat kesalahannya panjang lebar, Customer servicenya malah cuek, balesnya lama banget ga bales chat sama sekali, ga kayak aplikasi sebelah, baru chat langsung ditanggapin dan sigap, besoknya udah ga ada bug lagi.",,,,http://play.google.com/console/developers/4918360869960997146/app/4974629343297863794/user-feedback/review-details?reviewId=gp:AOqpTOHToYVZsAqHL0YAIvCHN0vTlO_hNKD3M4vbxH2CYZX-FSXE6qHC3fklEsmrq1YP9u-zivYXP0gbcH_9pA&corpus=PUBLIC_REVIEWS
com.quipper.school.assignment,,,en,CPH1725,7/1/2020 19:30,1.59361E+12,7/1/2020 19:30,1.59361E+12,5,,,,,,
com.quipper.school.assignment,25748,6.0.23,es,GO-X,7/1/2020 22:33,1.59362E+12,7/1/2020 22:33,1.59362E+12,5,,,,,,
com.quipper.school.assignment,25748,6.0.23,id,a2corelte,7/2/2020 1:55,1.59363E+12,7/2/2020 1:55,1.59363E+12,3,,Kurang bagus,7/8/2020 16:32,1.5942E+12,"Halo, terima kasih untuk masukannya, boleh tolong kirimkan masukan lebih detail ke email kami di info-id@quipper.com atau hubungi WA di 0811 9941 637.",http://play.google.com/console/developers/4918360869960997146/app/4974629343297863794/user-feedback/review-details?reviewId=gp:AOqpTOHLLkRnJosiY3bX3Wnvs1PAYJKjEti1sDgw6NumisY4tOtUmGd_3SyFco37MCQQRmixCTQOGoB7WOvvlA&corpus=PUBLIC_REVIEWS
com.quipper.school.assignment,25215,6.0.19,en,heroqlteue,7/2/2020 7:29,1.59365E+12,7/2/2020 7:29,1.59365E+12,5,,,,,,
com.quipper.school.assignment,25748,6.0.23,id,1820,7/2/2020 10:12,1.59366E+12,7/2/2020 10:12,1.59366E+12,3,,Gimana sih kok gak nyampe katasandiny???????????,7/8/2020 16:32,1.5942E+12,"Halo, jika kamu lupa kata sandi, kami sarankan untuk klik tombol lupa kata sandi ya. :)",http://play.google.com/console/developers/4918360869960997146/app/4974629343297863794/user-feedback/review-details?reviewId=gp:AOqpTOH5Gjms_53t0xSo55r45WKIJGZ3GaCfmdON71AgHoKx3jhRPwu48-GxgCHs05LPVvh2MwXqnpU7-9hDZg&corpus=PUBLIC_REVIEWS
com.quipper.school.assignment,,,id,1601,7/2/2020 10:52,1.59366E+12,7/2/2020 10:52,1.59366E+12,4,,,,,,
com.quipper.school.assignment,,,es,PIXI3-55,7/2/2020 14:14,1.59367E+12,7/2/2020 14:14,1.59367E+12,5,,,,,,
com.quipper.school.assignment,24457,6.0.15,id,CPH1803,7/2/2020 20:18,1.5937E+12,7/2/2020 20:18,1.5937E+12,1,,Terima kasih,7/8/2020 16:31,1.5942E+12,"Halo, terima kasih untuk feedback positifnya, kami merasa senang dapat membantu pembelajaran kamu, pastikan aplikasi kamu selalu terupdate ya :) Mohon berkenan untuk update ke bintang 5 ya.:)",http://play.google.com/console/developers/4918360869960997146/app/4974629343297863794/user-feedback/review-details?reviewId=gp:AOqpTOFWK6vf6Jkqcc1L0b0FwrmBK4huaXrM1XMsjbgCBfVnH9Qv9BF7KeX3pIk4RMoZkqROrAhZ4PudfyiP2A&corpus=PUBLIC_REVIEWS
com.quipper.school.assignment,,,id,A37f,7/2/2020 20:34,1.5937E+12,7/2/2020 20:34,1.5937E+12,3,,,,,,
com.quipper.school.assignment,25748,6.0.23,id,1727ID,7/2/2020 20:59,1.5937E+12,7/2/2020 20:59,1.5937E+12,5,,Good,7/8/2020 16:31,1.5942E+12,"Halo, terima kasih untuk feedback positifnya, kami merasa senang dapat membantu pembelajaran kamu, pastikan aplikasi kamu selalu terupdate ya :)",http://play.google.com/console/developers/4918360869960997146/app/4974629343297863794/user-feedback/review-details?reviewId=gp:AOqpTOHWyHgd5lvjwsyd-HSFvosy5N2rJmJWtYVBDy1C3DYx0WzvbxHQlZmq8dsNagUApF1waY1vXUGNUF8DQA&corpus=PUBLIC_REVIEWS
com.quipper.school.assignment,,,id,j7elte,7/3/2020 0:26,1.59371E+12,7/3/2020 0:26,1.59371E+12,5,,,,,,
com.quipper.school.assignment,,,id,OP4863,7/3/2020 0:49,1.59371E+12,7/3/2020 0:49,1.59371E+12,5,,,,,,
com.quipper.school.assignment,25748,6.0.23,id,ASUS_X007D,7/3/2020 6:51,1.59373E+12,7/3/2020 6:55,1.59373E+12,1,,Katanya gratis kok malah pas di buka harus berlanganan dulu gimana ini udah cape cape download :(??,7/8/2020 16:30,1.5942E+12,"Halo, untuk informasi lebih detail mengenai Quipper Video kami sarankan untuk coba mengakses website official kami terlebih dahulu, jika ada pertanyaan silahkan hubungi kami lewat email atau nomor hp yang ada di bagian paling bawah halaman website kami.",http://play.google.com/console/developers/4918360869960997146/app/4974629343297863794/user-feedback/review-details?reviewId=gp:AOqpTOF2Xiay0F0f0ZezWEF6xqpDCIEa2sdYWDyXCoslthjV-m43TKMZRbST4QHJDRte8ZtAvIabPGtZBvUEGw&corpus=PUBLIC_REVIEWS
com.quipper.school.assignment,25094,6.0.18,id,cactus,7/3/2020 8:32,1.59374E+12,7/3/2020 8:32,1.59374E+12,5,,,,,,
com.quipper.school.assignment,25748,6.0.23,es,nora_8917,7/3/2020 10:35,1.59375E+12,7/3/2020 10:35,1.59375E+12,1,,Racista. No tiene modo *oscuro*,,,,http://play.google.com/console/developers/4918360869960997146/app/4974629343297863794/user-feedback/review-details?reviewId=gp:AOqpTOF0HJgDknulsO-IrPR0Xsv1kzeEog5DrTQHGXepfe2bXOwnxAOZSHkv17S1SL72BOOBSVb96PN_VG2ZCA&corpus=PUBLIC_REVIEWS
com.quipper.school.assignment,25748,6.0.23,en,cactus,7/3/2020 17:38,1.59377E+12,7/3/2020 17:38,1.59377E+12,5,,,,,,
com.quipper.school.assignment,,,id,CPH1853,7/3/2020 21:34,1.59379E+12,7/3/2020 21:34,1.59379E+12,5,,,,,,
com.quipper.school.assignment,24457,6.0.15,id,riva,7/3/2020 21:40,1.59379E+12,7/3/2020 21:40,1.59379E+12,4,,,,,,
com.quipper.school.assignment,,,id,grandpplte,7/4/2020 8:56,1.59383E+12,7/4/2020 8:56,1.59383E+12,5,,,,,,
com.quipper.school.assignment,25748,6.0.23,id,CPH1859,7/4/2020 9:38,1.59383E+12,7/4/2020 9:38,1.59383E+12,5,,,,,,
com.quipper.school.assignment,25748,6.0.23,id,a33g,7/4/2020 11:30,1.59384E+12,7/4/2020 11:30,1.59384E+12,5,,,,,,
com.quipper.school.assignment,,,id,markw,7/4/2020 15:11,1.59385E+12,7/4/2020 15:11,1.59385E+12,5,,"Berlangganan 700 ribu tahun lalu trus males dibuka,sekarang menjelang Tes CPNS dan SBMPTN barulah ada keinginan.PAS BELAJAR MALAH KECANDUAN MANTAP DAH.Fondasi Ilmu gw makin menjadi,kekurangan sih mata gw sakit kelamaan belajar di HP/Komputer",7/8/2020 16:29,1.5942E+12,"Halo, terima kasih untuk feedback positifnya, kami merasa senang dapat membantu pembelajaran kamu, pastikan aplikasi kamu selalu terupdate ya :)",http://play.google.com/console/developers/4918360869960997146/app/4974629343297863794/user-feedback/review-details?reviewId=gp:AOqpTOES4iXkFzC9IoAlmsH7hfAQh-7iqQLzpX7zrw2sAbamx1JuuKrhyLD-lBn1g9KtwRjoLckTP8ySEVE9-A&corpus=PUBLIC_REVIEWS
com.quipper.school.assignment,24063,6.0.12,es,HWJKM-H,7/4/2020 15:27,1.59385E+12,7/4/2020 15:27,1.59385E+12,5,,,,,,
com.quipper.school.assignment,,,id,CPH1723,7/4/2020 19:06,1.59386E+12,7/4/2020 19:06,1.59386E+12,5,,,,,,
com.quipper.school.assignment,25301,6.0.20,en,OP4B79L1,7/4/2020 20:06,1.59387E+12,7/4/2020 20:06,1.59387E+12,5,,,,,,
com.quipper.school.assignment,,,id,grandpplte,7/5/2020 8:55,1.59391E+12,7/5/2020 8:55,1.59391E+12,4,,,,,,
com.quipper.school.assignment,,,en,gt58lte,7/5/2020 10:16,1.59392E+12,7/5/2020 10:16,1.59392E+12,3,,,,,,
com.quipper.school.assignment,,,id,CPH1729,7/5/2020 13:21,1.59393E+12,7/5/2020 13:21,1.59393E+12,5,,Sungguh membantu,7/8/2020 16:28,1.5942E+12,"Halo, terima kasih untuk feedback positifnya, kami merasa senang dapat membantu pembelajaran kamu, pastikan aplikasi kamu selalu terupdate ya :)",http://play.google.com/console/developers/4918360869960997146/app/4974629343297863794/user-feedback/review-details?reviewId=gp:AOqpTOHD8-qVDcCLFsDCbhSwO57Gxie7jzNt51J1koSz6PQFEaRkvFfO0traOzZ1hNSeKAFIuOczyFCLmYfb7A&corpus=PUBLIC_REVIEWS
